up,sheet,role,n_positive,n_negative,conflict
AGUB,I90DIA02,pumping,0,1274,False
AGUB,I90DIA26,pumping,0,199,False
AGUG,I90DIA02,generation,1677,0,False
AGUG,I90DIA26,generation,487,0,False
CHIPB,I90DIA02,pumping,0,520,False
CHIPB,I90DIA26,pumping,0,90,False
CHIPG,I90DIA02,generation,1032,0,False
CHIPG,I90DIA26,generation,312,0,False
GUIB,I90DIA02,pumping,0,737,False
GUIB,I90DIA26,pumping,0,128,False
GUIG,I90DIA02,generation,1178,0,False
GUIG,I90DIA26,generation,252,0,False
MLTB,I90DIA02,pumping,0,925,False
MLTB,I90DIA26,pumping,0,179,False
MLTG,I90DIA02,generation,692,0,False
MLTG,I90DIA26,generation,157,0,False
MUEB,I90DIA02,pumping,0,1559,False
MUEB,I90DIA26,pumping,0,252,False
MUEL,I90DIA02,generation,1592,0,False
MUEL,I90DIA26,generation,168,0,False
SLTB,I90DIA02,pumping,0,784,False
SLTB,I90DIA26,pumping,0,158,False
SLTG,I90DIA02,generation,1399,0,False
SLTG,I90DIA26,generation,298,0,False
TJEB,I90DIA02,pumping,0,619,False
TJEB,I90DIA26,pumping,0,93,False
TJEG,I90DIA02,generation,588,0,False
TJEG,I90DIA26,generation,156,0,False
UFBB,I90DIA02,pumping,0,1001,False
UFBB,I90DIA26,pumping,0,66,False
UFBG,I90DIA02,generation,798,0,False
UFBG,I90DIA26,generation,57,0,False
