day,qh,up,trades,pibcic,abs_error
2023-01-01,1,MUEL,5.0,5.0,0.0
2023-01-01,2,MUEL,5.0,5.0,0.0
2023-01-01,3,MUEL,5.0,5.0,0.0
2023-01-01,4,MUEL,5.0,5.0,0.0
2023-01-01,5,MUEL,23.725,23.725,0.0
2023-01-01,6,MUEL,23.725,23.725,0.0
2023-01-01,7,MUEL,23.725,23.725,0.0
2023-01-01,8,MUEL,23.725,23.725,0.0
2023-01-01,9,MUEL,10.0,10.0,0.0
2023-01-01,10,MUEL,10.0,10.0,0.0
2023-01-01,11,MUEL,10.0,10.0,0.0
2023-01-01,12,MUEL,10.0,10.0,0.0
2023-01-01,13,AGUB,4.75,4.75,0.0
2023-01-01,14,AGUB,4.75,4.75,0.0
2023-01-01,15,AGUB,4.75,4.75,0.0
2023-01-01,16,AGUB,4.75,4.75,0.0
2023-01-01,17,AGUB,1.25,1.25,0.0
2023-01-01,18,AGUB,1.25,1.25,0.0
2023-01-01,19,AGUB,1.25,1.25,0.0
2023-01-01,20,AGUB,1.25,1.25,0.0
2023-01-01,33,MUEL,16.25,16.25,0.0
2023-01-01,34,MUEL,16.25,16.25,0.0
2023-01-01,35,MUEL,16.25,16.25,0.0
2023-01-01,36,MUEL,16.25,16.25,0.0
2023-01-01,37,AGUB,21.0,21.0,0.0
2023-01-01,37,MUEL,1.25,1.25,0.0
2023-01-01,38,AGUB,21.0,21.0,0.0
2023-01-01,38,MUEL,1.25,1.25,0.0
2023-01-01,39,AGUB,21.0,21.0,0.0
2023-01-01,39,MUEL,1.25,1.25,0.0
2023-01-01,40,AGUB,21.0,21.0,0.0
2023-01-01,40,MUEL,1.25,1.25,0.0
2023-01-01,41,AGUB,43.025,43.025,0.0
2023-01-01,41,MUEL,1.25,1.25,0.0
2023-01-01,42,AGUB,43.025,43.025,0.0
2023-01-01,42,MUEL,1.25,1.25,0.0
2023-01-01,43,AGUB,43.025,43.025,0.0
2023-01-01,43,MUEL,1.25,1.25,0.0
2023-01-01,44,AGUB,43.025,43.025,0.0
2023-01-01,44,MUEL,1.25,1.25,0.0
2023-01-01,45,AGUB,86.0,86.0,0.0
2023-01-01,45,MUEL,16.25,16.25,0.0
2023-01-01,45,UFBB,26.0,26.0,0.0
2023-01-01,46,AGUB,86.0,86.0,0.0
2023-01-01,46,MUEL,16.25,16.25,0.0
2023-01-01,46,UFBB,26.0,26.0,0.0
2023-01-01,47,AGUB,86.0,86.0,0.0
2023-01-01,47,MUEL,16.25,16.25,0.0
2023-01-01,47,UFBB,26.0,26.0,0.0
2023-01-01,48,AGUB,86.0,86.0,0.0
2023-01-01,48,MUEL,16.25,16.25,0.0
2023-01-01,48,UFBB,26.0,26.0,0.0
2023-01-01,49,AGUB,3.45,3.45,0.0
2023-01-01,49,MUEL,3.75,3.75,0.0
2023-01-01,49,UFBB,7.35,7.35,0.0
2023-01-01,50,AGUB,3.45,3.45,0.0
2023-01-01,50,MUEL,3.75,3.75,0.0
2023-01-01,50,UFBB,7.35,7.35,0.0
2023-01-01,51,AGUB,3.45,3.45,0.0
2023-01-01,51,MUEL,3.75,3.75,0.0
2023-01-01,51,UFBB,7.35,7.35,0.0
2023-01-01,52,AGUB,3.45,3.45,0.0
2023-01-01,52,MUEL,3.75,3.75,0.0
2023-01-01,52,UFBB,7.35,7.35,0.0
2023-01-01,53,MUEL,61.6,61.6,0.0
2023-01-01,54,MUEL,61.6,61.6,0.0
