entity,role,p48,pbf,IDA,MIC,RT_DIARIO,REEQUILIBRIO,RT_TIEMPO_REAL,DESVIOS_RT,RR,MFRR,sum_deltas,residual,gross_mwh,residual_pct,closes
Aguayo,generation,59493.778,114317.9,830.6,276.1,0.0,-48347.7,27.5,-550.972,-7822.6,762.95,-54824.122,-4.440892098500626e-15,114317.90000000001,3.884686561335211e-18,True
Aguayo,pumping,-88939.235,-37614.7,-10579.1,-315.70000000000005,0.0,-39782.5,-223.627,1190.817,-3011.0,1396.575,-51324.535,1.895011925157064e-13,37614.7,5.037955706564359e-16,True
Bolarque II,generation,17686.775,3521.9,8589.4,2225.4,0.0,0.0,0.0,0.0,1479.0,1871.075,14164.875,4.9682480351975755e-15,3521.9,1.410672658280353e-16,True
Bolarque II,pumping,-23522.325,-4792.7,-4260.0,-4587.8,0.0,-7154.5,0.0,0.0,817.2,-3544.525,-18729.625,3.91631171936524e-14,4792.7,8.171410101540342e-16,True
Guillena,generation,20380.15,17456.7,4344.9,0.0,0.0,-1792.8000000000002,0.0,0.0,326.1,45.25,2923.45,-3.1952218648712005e-13,17456.699999999997,1.8303699237949903e-15,True
Guillena,pumping,-25370.9,-17379.6,-2032.4,66.1,0.0,-4067.0,-450.0,989.5,-1766.25,-731.25,-7991.3,0.0,17379.6,0.0,True
Ip,generation,11157.7,14770.5,-3573.6,-39.2,0.0,0.0,0.0,0.0,0.0,0.0,-3612.8,-5.329070518200751e-15,14770.5,3.607914774855795e-17,True
Ip,pumping,-11987.25,-6767.6,-5243.9,-33.49999999999999,0.0,0.0,0.0,57.75,0.0,0.0,-5219.65,-5.329070518200751e-15,6767.6,7.874387549797198e-17,True
La Muela,generation,241138.3,143963.6,77191.7,10226.5,-700.0,-3843.1,-50.0,0.0,6392.05,7957.55,97174.7,1.688510442576785e-13,143963.59999999998,1.1728731725080404e-16,True
La Muela,pumping,-287383.811,-233145.0,15178.0,5983.7,600.0,-55153.9,-7063.884,4863.1,-3344.65,-15301.177,-54238.811,1.3253287356462806e-13,233145.0,5.684568554531646e-17,True
Moralets,generation,23813.25,23014.0,1648.9,65.0,0.0,-4611.9,0.0,0.0,2193.75,1503.5,799.25,0.0,23014.0,0.0,True
Moralets,pumping,-36152.033,-31309.7,1595.1,0.0,0.0,-3771.4,0.0,1768.717,-1642.5,-2792.25,-4842.333,-1.554312234475219e-14,31309.7,4.964315322328924e-17,True
Sallente,generation,38804.45,33499.1,8995.2,-2203.9,0.0,-1962.3,0.0,-424.7,335.3,565.75,5305.35,-3.019806626980426e-14,33499.100000000006,9.014590323263686e-17,True
Sallente,pumping,-50990.732,-35942.2,-1155.4,201.9,0.0,-10259.8,-900.0,1907.968,-3030.0,-1813.2,-15048.532,2.3092638912203256e-14,35942.2,6.424937514176444e-17,True
Tajo de la Encantada,generation,19945.592,22170.5,-1217.0,694.7,0.0,-2836.7,0.0,-137.458,832.6,438.95,-2224.908,2.1316282072803006e-14,22170.5,9.614705159018969e-17,True
Tajo de la Encantada,pumping,-30470.95,-17634.2,722.8,-18.900000000000006,0.0,-9503.6,-1935.0,1835.45,-1785.0,-2152.5,-12836.75,-3.6415315207705135e-14,17634.2,2.0650392537061581e-16,True
